time,open,high,low,close,tick_volume,spread,rsi,ovo,cvc,hvh,lvl,ATRr_14,cd_atr,rsi_cat,rsi_diff,body_size,range_size,body_vs_atr,range_vs_atr,candle_color,exec
9/15/2025 3:15,147.618,147.68,147.612,147.661,439,21,52.33867546,-1,1,1,1,0.069321463,0.59,2,1,0.043,0.068,0.62,0.98,1,HOLD
9/15/2025 3:30,147.661,147.676,147.567,147.568,536,21,43.77771633,1,-1,-1,-1,0.072167463,-1.34,2,-1,0.093,0.109,1.34,1.57,-1,HOLD
9/15/2025 3:45,147.569,147.595,147.534,147.536,533,22,41.27594053,-1,-1,-1,-1,0.071366699,-0.44,2,-1,0.033,0.061,0.46,0.85,-1,HOLD
9/15/2025 4:00,147.537,147.573,147.529,147.549,1009,20,42.70834192,-1,1,-1,-1,0.06940491,0.18,2,1,0.012,0.044,0.17,0.62,1,HOLD
9/15/2025 4:15,147.549,147.564,147.535,147.542,748,22,42.11267854,1,-1,-1,1,0.066509217,-0.1,2,-1,0.007,0.029,0.1,0.42,-1,TP
9/15/2025 4:30,147.541,147.564,147.527,147.558,473,20,44.03408148,-1,1,0,-1,0.064394888,0.24,2,1,0.017,0.037,0.26,0.56,1,WAIT
9/15/2025 4:45,147.558,147.574,147.54,147.563,634,21,44.65233839,1,1,1,1,0.062217583,0.08,2,1,0.005,0.034,0.08,0.53,1,WAIT
9/15/2025 5:00,147.562,147.6,147.552,147.555,469,23,43.81826326,1,-1,1,1,0.061199331,-0.13,2,-1,0.007,0.048,0.11,0.77,-1,WAIT
9/15/2025 5:15,147.555,147.574,147.539,147.561,511,23,44.65328685,-1,1,-1,-1,0.059323312,0.1,2,1,0.006,0.035,0.1,0.57,1,WAIT
9/15/2025 5:30,147.561,147.561,147.517,147.544,528,23,42.71607431,1,-1,-1,-1,0.058226272,-0.29,2,-1,0.017,0.044,0.29,0.74,-1,WAIT
9/15/2025 5:45,147.545,147.552,147.495,147.504,501,20,38.48534732,-1,-1,-1,-1,0.058138494,-0.69,2,-1,0.041,0.057,0.7,0.98,-1,SELL
9/15/2025 6:00,147.504,147.506,147.46,147.465,657,22,34.86007008,-1,-1,-1,-1,0.057269739,-0.67,2,-1,0.039,0.046,0.67,0.79,-1,HOLD
9/15/2025 6:15,147.464,147.482,147.453,147.469,673,21,35.5308466,-1,1,-1,-1,0.055246754,0.07,2,1,0.005,0.029,0.09,0.51,1,HOLD
9/15/2025 6:30,147.468,147.473,147.424,147.435,509,21,32.47016169,1,-1,-1,-1,0.054799795,-0.62,2,-1,0.033,0.049,0.6,0.89,-1,HOLD
